code_site,libelle_site,type_site,coordonnee_x_site,coordonnee_y_site,code_projection,longitude_site,latitude_site,altitude_site,code_systeme_alti_site,surface_bv,statut_site,premier_mois_etiage_site,premier_mois_annee_hydro_site,influence_generale_site,code_entite_hydro_site,code_troncon_hydro_site,code_commune_site,code_zone_hydro_site,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,grandeur_hydro,date_maj_site,date_premiere_donnee_dispo_site,commentaire_influence_generale_site,commentaire_site,type_contexte_loi_stat_site,type_loi_site,libelle_departement,geometry
10110001,[Barbotteau] à Petit-Bourg,REEL,643352.0,1790354.0,39,-61.658989597,16.189402471,133.81,11.0,13.9,1,12,7,0.0,00000000,00000000,['97118'],1011,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-28T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.65898959694908, 16.18940247103205]}"
10110002,[Grande riviere a goyave] à Petit-Bourg,REEL,644100.0,1791070.0,39,-61.651949755,16.19582925,,,,1,12,7,0.0,00000000,00000000,['97118'],1011,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.65194975462467, 16.195829249875146]}"
10110003,[La Grande Rivière à Goyaves à Petit-Bourg-Barboteau] à Petit-Bourg,REEL,643710.0,1790860.0,39,-61.65561032,16.193954427,,,,1,12,7,2.0,00000000,00000000,['97118'],1011,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.655610320218194, 16.193954427235727]}"
10110004,[La Grande Rivière à Goyaves à Petit-Bourg [Vernou]] à Petit-Bourg,REEL,641900.0,1786900.0,39,-61.672778414,16.158271038,,,,1,12,7,2.0,00000000,00000000,['97118'],1011,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.672778414005435, 16.158271038116695]}"
10150001,La rivière Bras David à Petit-Bourg [Maison Forêt],REEL,639703.869,1788847.318,39,-61.693199749,16.175997701,214.38,11.0,11.0,1,12,7,0.0,101-1020,10150747,['97118'],1015,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],101-1020,Rivière Bras David,http://id.eaufrance.fr/CEA/101-1020,Q,2023-09-21T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.693199749180174, 16.175997701084142]}"
10160001,[Prise d'eau Duclos] à Petit-Bourg,REEL,642548.89,1791425.85,39,-61.666435864,16.199136863,104.92,11.0,37.4,1,12,7,0.0,00000000,00000000,['97118'],1016,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-28T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.666435864259654, 16.199136862955747]}"
10160002,[La rivière Bras David à Petit-Bourg [cote 110]] à Petit-Bourg,REEL,643530.0,1791840.0,39,-61.657233929,16.202822061,,,,1,12,7,0.0,00000000,00000000,['97118'],1016,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.65723392859864, 16.202822061181276]}"
10160003,[Petit-Bourg [cote 130]] à Petit-Bourg [Riviere bras david],REEL,641810.0,1790790.0,39,-61.673385354,16.193433429,,,,1,12,7,2.0,00000000,00000000,['97118'],1016,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.67338535441638, 16.19343342870373]}"
10200001,"[Grande riviere a goyave] à Petit-Bourg [Prise d'eau, cote 90]",REEL,643971.0,1792097.0,39,-61.653093292,16.205118648,,,,2,12,7,2.0,00000000,00000000,['97118'],1020,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.653093291709354, 16.205118648404778]}"
10210001,[Lamentin [Ravine Chaude]] à Lamentin [Lamentin [Ravine Chaude]],REEL,642290.0,1794320.0,39,-61.668681698,16.225308732,,,,1,12,7,0.0,00000000,00000000,['97115'],1021,['LAMENTIN'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-27T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.66868169805941, 16.22530873247717]}"
10250001,[La Boucan] à Sainte-Rose,REEL,642309.8,1800339.66,39,-61.668130065,16.27971171,8.0,11.0,137.1,1,12,7,0.0,00000000,00000000,['97129'],1025,['SAINTE-ROSE'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,Q,2022-04-12T00:00:00Z,,,,,,['GUADELOUPE'],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [-61.66813006455769, 16.279711710097143]}"
