,station,nb_jour,erreur,NB_valeur,quantile_95,quantile_90,quantile_85
0,1015000101,1460,74.90341305892487,3789,14,31,39
1,1025000101,1460,64.3004534231489,2457,5,6,6
2,1110000101,1460,48.06092385475876,4284,1358,1380,1392
3,1120000101,1460,190.4205767159638,2106,1460,1460,1460
4,1221000101,1460,159.78393428717717,24,1460,1460,1460
5,2014000101,1460,65.49235721497232,4599,0,0,0
6,2101000102,1460,34.52648264409145,4608,292,366,411
7,2205000101,1460,77.13617436359648,4457,793,814,823
8,2221000101,1460,79.42595812237441,4613,0,0,0
9,2225000101,1341,348.93121136738114,3848,1015,1030,1036
10,2225000301,1180,162.6938710357361,458,930,942,951
11,2301000101,1460,70.94468002880025,2505,0,0,0
12,2301000201,1460,37.62349819889653,992,0,0,0
13,2302000101,1460,212.25971216535925,3838,215,263,294
14,2320000101,1458,115.62318787166677,1521,24,31,39
15,2329000101,1460,56.44719014760602,3165,21,27,30
16,2402000101,1434,284.0796274786152,2024,121,133,135
17,2423000102,1460,46.94788512106186,4506,163,217,252
18,2501000101,1460,78.6990441789461,5068,0,5,7
19,2503000101,1460,87.79238629175616,5899,228,256,272
20,2503000301,1460,61.83234795846245,2564,641,704,729
21,2504000101,1460,379.2987118757923,4617,412,480,512
22,2511000101,1460,30.925951105924355,4570,0,0,0
23,2512000101,1460,50.10894606894676,4890,399,458,483
24,2512000201,1446,55.890717743208555,4222,207,269,297
25,2512000301,1460,553.9248226008748,4738,349,413,442
26,2512000401,1403,47.16456920667626,1496,843,896,911
27,2521000102,1460,153.4829399080395,5334,691,701,705
28,2521000401,1460,39.5429028916252,1493,764,780,792
29,2533000102,1460,577.7439776272037,4704,687,709,718
30,2544000101,1460,66.49518863444803,3193,0,0,0
31,2623000101,1460,292.6195522937169,4205,133,147,164
32,2715000101,1460,inf,4454,0,0,0
33,2803000101,1460,263.2114652146806,2753,0,0,0
34,2803000102,1382,89.96916064140926,940,256,270,281
35,2812000101,1460,284.7791638969215,4285,171,192,207
36,2824000101,1460,1254.873012190081,4565,106,123,142
37,3021000101,1457,134.00043540911707,906,0,0,0
38,3033000301,1457,61.862229503936916,830,0,0,0
39,3033000401,1446,53.24837030674813,897,0,0,0
40,3033000501,1404,200.50855120013802,803,93,99,105
41,3035000101,1454,213.15622006072164,968,336,386,408
42,3036000101,1460,54.76143918894707,897,0,0,0
43,3052000101,1453,37.52108704847969,875,0,0,0
44,3053000101,1366,94.83211494394112,754,71,82,86
45,3054000101,1094,699.9445897961518,179,465,487,497
46,3092000101,1443,52.07099429869682,875,258,276,299
47,4000000101,1460,107.67778544259583,1306,139,141,143
48,4001000201,1460,79.32268361897789,3767,486,506,518
49,4012000101,1460,55.268234532783886,3878,1162,1167,1170
50,4013000201,1460,177.60581638424748,3926,585,586,587
51,4013000401,1458,504.619276656965,237,695,705,716
52,4020000101,1460,121.47720621223989,3139,520,524,526
