code_site,code_station,date_obs_elab,resultat_obs_elab,grandeur_hydro_elab,longitude_station,latitude_station,altitude_ref_alti_station,libelle_site,libelle_station,code_cours_eau,libelle_cours_eau,libelle_departement,longitude_site,altitude_site
F7000001,F700000103,2006-01-28,192000.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-01-29,192315.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-01-30,187250.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-01-31,163136.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-02-01,164874.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-02-02,164072.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-02-03,167084.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-02-04,154552.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-02-05,154925.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-02-06,158594.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-02-07,157054.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-02-08,151527.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
