Station;Min;Max seuil;Min seuil
1015000101;0%;13000;0
1025000101;0%;137500;0
1110000101;0%;16600;0
1120000101;0%;20200;0
1221000101;33%;10200;0
2014000101;0%;6500;0
2101000102;0%;53700;0
2205000101;0%;34900;0
2221000101;0%;2700;0
2225000101;0%;65100;0
2225000301;0%;4800;0
2301000101;0%;3600;0
2301000201;0%;2400;0
2302000101;0%;18600;0
2320000101;0%;2500;0
2329000101;0%;7000;0
2402000101;0%;43500;0
2423000102;0%;10800;0
2501000101;0%;3700;0
2503000101;0%;15000;0
2503000301;0%;8100;0
2504000101;0%;8600;0
2511000101;0%;1400;0
2512000101;0%;22700;0
2512000201;0%;7300;0
2512000301;0%;18400;0
2512000401;2%;4200;0
2521000102;0%;148700;0
2521000401;0%;9500;0
2533000102;0%;49900;0
2544000101;0%;3400;0
2623000101;0%;28100;0
2715000101;0%;24300;0
2803000101;0%;41200;0
2803000102;0%;20100;0
2812000101;0%;12000;0
2824000101;0%;12300;0
3021000101;0%;700;0
3033000301;1%;300;0
3033000401;0%;700;0
3033000501;0%;4100;0
3035000101;0%;4200;0
3036000101;0%;700;0
3052000101;28%;400;0
3053000101;6%;3700;0
3054000101;0%;2500;0
3092000101;1%;1600;0
4000000101;0%;48100;0
4001000201;0%;90600;0
4012000101;0%;343200;0
4013000201;0%;168500;0
4013000401;0%;11100;0
4020000101;0%;108100;0
4021000101;0%;7000;0
4022000101;0%;762600;0
4030000201;0%;7100;0
4030000301;0%;12500;0
4030000401;3%;43200;0
4030000601;0%;30300;0
4030000901;0%;17600;0
4031000101;1%;55900;0
4032000401;0%;45700;0
5041000101;35%;8850000;0
5143000101;36%;2220000;0
5220000101;35%;2190000;0
5221000101;35%;3470000;0
5221000201;35%;3770000;0
5241000101;35%;4640000;0
5424000102;35%;1310000;0
5522000101;1%;1080000;0
6000000102;35%;2820000;0
6020000101;35%;4940000;0
6122000301;34%;1080000;0
6242000101;35%;1800000;0
7050000101;35%;1490000;0
8031000101;36%;631900;0
8032000101;35%;1270000;0
9104000101;35%;463300;0
9110000101;3%;97800;0
9121000101;0%;65600;0
9121000102;0%;87800;0
9131000101;1%;239800;0
9134000101;1%;48900;0
A021005050;36%;3460000;0
A022020001;0%;2500;0
A041030001;23%;2200;0
A052033001;1%;1100;0
A052034001;5%;1100;0
A052055001;8%;400;0
A053074001;6%;2600;0
A053074201;0%;1200;0
A060005050;36%;3900000;0
A061005050;35%;2920000;0
A061005051;36%;3810000;0
A100003001;0%;9600;0
A105003001;0%;62800;0
A107020001;0%;14500;0
A112010001;0%;35500;0
A112010002;0%;20700;0
A112020001;0%;41300;0
A113030002;0%;8800;0
A115020001;0%;70500;0
A116003002;0%;151100;0
A116003004;0%;43800;0
A116003101;15%;6800;0
A120020302;0%;8700;0
A121000101;1%;39500;0
A122201002;0%;40900;0
A124020101;0%;83000;0
A125020001;0%;88400;0
A130000101;0%;163000;0
A133003001;0%;163700;0
A133043301;22%;2100;0
A140202001;0%;6500;0
A143020002;0%;66300;0
A146020302;0%;100500;0
A147004001;0%;184100;0
A147004101;1%;154000;0
A150020001;0%;9200;0
A152020001;0%;29900;0
A156020101;1%;29600;0
A161003001;0%;212100;0
A201010001;0%;43100;0
A202030001;0%;15800;0
A204010001;0%;65100;0
A204010101;0%;37900;0
A204010201;0%;59100;0
A204010301;16%;300;0
A210020101;0%;3900;0
A211030001;0%;11600;0
A212020001;0%;21700;0
A212020002;0%;19000;0
A214010001;0%;83000;0
A214010102;0%;68100;0
A215030001;2%;1200;0
A216010201;2%;1800;0
A220000101;1%;82500;0
A225020001;9%;600;0
A226020001;1%;24300;0
A226032002;35%;127200;0
A226032101;0%;8700;0
A228003001;35%;176300;0
A231020001;0%;18800;0
A234021001;0%;24900;0
A235020001;0%;51600;0
A235020002;0%;50300;0
A236003001;0%;261800;0
A237003001;35%;256700;0
A242020001;1%;4000;0
A242020101;1%;8000;0
A243003001;36%;61900;0
A251020001;0%;6200;0
A261020001;0%;7200;0
A273011002;0%;62400;0
A284020001;0%;13300;0
A285011001;0%;82600;0
A286011003;0%;105000;0
A302009050;36%;4030000;0
A312000101;0%;8700;0
A325021001;0%;17200;0
A330010001;0%;62900;0
