libelle;longitude;latitude;code_commune_station;libelle_commune
[Barbotteau] à Petit-Bourg;-61.658989597;16.189402471;97118;PETIT-BOURG
[Grande riviere a goyave] à Petit-Bourg;-61.651949755;16.19582925;97118;PETIT-BOURG
[La Grande Rivière à Goyaves à Petit-Bourg-Barboteau] à Petit-Bourg;-61.65561032;16.193954427;97118;PETIT-BOURG
[La Grande Rivière à Goyaves à Petit-Bourg [Vernou]] à Petit-Bourg;-61.672778414;16.158271038;97118;PETIT-BOURG
La rivière Bras David à Petit-Bourg [Maison Forêt];-61.69319975;16.175997699;97118;PETIT-BOURG
[Prise d'eau Duclos] à Petit-Bourg;-61.666435864;16.199136863;97118;PETIT-BOURG
[La rivière Bras David à Petit-Bourg [cote 110]] à Petit-Bourg;-61.657233929;16.202822061;97118;PETIT-BOURG
[Petit-Bourg [cote 130]] à Petit-Bourg [Riviere bras david];-61.673385354;16.193433429;97118;PETIT-BOURG
[Grande riviere a goyave] à Petit-Bourg [Prise d'eau, cote 90];-61.653093292;16.205118648;97118;PETIT-BOURG
[Lamentin [Ravine Chaude]] à Lamentin [Lamentin [Ravine Chaude]];-61.668681698;16.225308732;97115;LAMENTIN
[La Boucan] à Sainte-Rose;-61.668130065;16.27971171;97129;SAINTE-ROSE
[Sainte-Rose [Bonne Mere]] à Sainte-Rose [Grande riviere a goyave];-61.667993471;16.271941152;97129;SAINTE-ROSE
[Ravine Bleue] à Sainte-Rose;-61.717770023;16.293870123;97129;SAINTE-ROSE
[Sainte-Rose [Forêt de Marolles]] à Sainte-Rose [Riviere moustique sainte-rose];-61.715113667;16.296798381;97129;SAINTE-ROSE
[Riviere nogent] à Sainte-Rose;-61.745007441;16.336032497;97129;SAINTE-ROSE
[Prise d'eau] à Petit-Bourg [TRIANON];-61.627892425;16.157941415;97118;PETIT-BOURG
[pont RN] à Petit-Bourg;-61.60212418;16.181951987;97118;PETIT-BOURG
[Riviere la rose] à Goyave [cote 75];-61.597352472;16.149653493;97114;GOYAVE
[Riviere lezarde] à Petit-Bourg [cote 85];-61.647192928;16.180126943;97118;PETIT-BOURG
[Prise d'eau] à Capesterre-Belle-Eau [DIGUE];-61.609381528;16.071929809;97107;CAPESTERRE-BELLE-EAU
[pont RN] à Capesterre-Belle-Eau;-61.56608824;16.057036348;97107;CAPESTERRE-BELLE-EAU
[Capesterre-Belle-Eau [cote 95]] à Capesterre-Belle-Eau;-61.585446667;16.066805019;97107;CAPESTERRE-BELLE-EAU
[Riviere du Perou] à Capesterre-Belle-Eau [cote 205];-61.603401793;16.057559475;97107;CAPESTERRE-BELLE-EAU
[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Amont prise Marquis];-61.605619672;16.039714664;97107;CAPESTERRE-BELLE-EAU
[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Cote 15];-61.57502155;16.022531066;97107;CAPESTERRE-BELLE-EAU
[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Barrage];-61.623693349;16.045389917;97107;CAPESTERRE-BELLE-EAU
[riviere Moreau] à Goyave [cote 170];-61.615206314;16.123740687;97114;GOYAVE
[Petite Riviere A Goyave] à Goyave;-61.587337245;16.127263578;97114;GOYAVE
[riviere Sainte Marie] à Capesterre-Belle-Eau;-61.562456953;16.100001781;97107;CAPESTERRE-BELLE-EAU
[Pont RD] à Trois-Rivières [Grande Anse];-61.659512131;15.963211632;97132;TROIS-RIVIERES
[riviere Bananier] à Capesterre-Belle-Eau [Pont Thévenin];-61.609276275;16.019158627;97107;CAPESTERRE-BELLE-EAU
[riviere Bananier] à Capesterre-Belle-Eau [Déversoir à l'échelle];-61.615413076;16.02500079;97107;CAPESTERRE-BELLE-EAU
[rivière Bananier] à Capesterre-Belle-Eau [Déversoir au limnigraphe];-61.615282247;16.024999945;97107;CAPESTERRE-BELLE-EAU
[Rivière des Pères] à Baillif [Rivière des Pères];-61.739269766;16.010759526;97104;BAILLIF
[riviere aux Herbes] à Basse-Terre;-61.725152838;15.996332898;97105;BASSE-TERRE
[Galion] à Basse-Terre;-61.720413666;15.989236632;97105;BASSE-TERRE
[riviere du Plessis] à Baillif;-61.718538802;16.067742559;97104;BAILLIF
[Grande Riviere de Vieux-Habitants] à Vieux-Habitants [cote 570];-61.695519784;16.110056606;97134;VIEUX-HABITANTS
[Grande Riviere de Vieux-Habitants] à Vieux-Habitants [cote 325];-61.717583131;16.101603762;97134;VIEUX-HABITANTS
[Prise d'eau] à Vieux-Habitants [Barthole];-61.725180957;16.086536891;97134;VIEUX-HABITANTS
[Pont RN] à Vieux-Habitants;-61.759929533;16.059657043;97134;VIEUX-HABITANTS
[riviere Beaugendre] à Vieux-Habitants [cote 77];-61.74909047;16.098599964;97134;VIEUX-HABITANTS
[pont RD] à Bouillante [Lostau];-61.765614739;16.162251555;97106;BOUILLANTE
[riviere Lostau] à Bouillante [cote 70];-61.757070717;16.160722892;97106;BOUILLANTE
[rivière Lostau] à Bouillante [Déversoir];-61.750553449;16.162022446;97106;BOUILLANTE
La rivière de Petite-Plaine à Pointe-Noire;-61.776039409;16.224316529;97121;POINTE-NOIRE
[riviere Petite Plaine] à Pointe-Noire [Historique];-61.746477755;16.067971261;97121;POINTE-NOIRE
[riviere Ferry] à Deshaies [cote 35];-61.79058361;16.285746742;97111;DESHAIES
La rivière Deshaies à Deshaies;-61.782868367;16.29672549;97111;DESHAIES
[ravine Bacadore] aux Abymes;-61.508468286;16.255793409;97101;ABYMES
La ravine des Coudes [MAE] à Morne-à-l'Eau;-61.440836092;16.329290583;97116;MORNE-A-L'EAU
[ravine Gaschet] à Petit-Canal;-61.441215057;16.40045727;97119;PETIT-CANAL
[ravine Gaschet] à Port-Louis [Pont RN 6];-61.49924553;16.403970454;97122;PORT-LOUIS
[ravine Gaschet] à Port-Louis [Retenue Gachet];-61.488267384;16.415513864;97122;PORT-LOUIS
[ravine Cassis] à Port-Louis [ravine Cassis];-61.508933348;16.441174358;97122;PORT-LOUIS
[ravine Gardel] au Moule;-61.322648953;16.311995675;97117;MOULE
[Ravine Bombo] à Sainte-Anne;-61.3790885;16.252520424;97128;SAINTE-ANNE
[Grande Ravine] au Gosier [Pont RN 4];-61.497841135;16.217444195;97113;GOSIER
[rivière Saint Louis] à Saint-Louis [Marie-Galante];-61.289587036;15.935073394;97126;SAINT-LOUIS
La rivière de l'Anse Céron au Prêcheur;-61.225533373;14.831497784;97219;PRECHEUR
La Grande Rivière à Grand'Rivière [Bourg Grand Rivière];-61.178256371;14.873158238;97211;GRAND'RIVIERE
La Grande Rivière à Grand'Rivière [Bourg Grand Rivière];-61.178256371;14.873158238;97211;GRAND'RIVIERE
La rivière Capot au Morne-Rouge [Mackintosh];-61.11098285;14.776624396;97218;MORNE-ROUGE
La rivière Capot au Lorrain [Saut Babin];-61.106495975;14.812058121;97214;LORRAIN
La rivière Capot au Lorrain [Vivé-capot];-61.096447645;14.831861995;97214;LORRAIN
La rivière Pirogue au Lorrain [Pont Desgrottes];-61.101868228;14.804790393;97214;LORRAIN
La rivière du Lorrain au Lorrain [SCNA];-61.055504668;14.788161638;97214;LORRAIN
La rivière du Lorrain au Lorrain [confluence Pirogue];-61.059176417;14.779809287;97214;LORRAIN
La rivière du Lorrain au Lorrain [Pont de la Pirogue];-61.057075397;14.796735688;97214;LORRAIN
La rivière de Bezaudin à Sainte-Marie [Sainte-Marie];-61.006936513;14.773034836;97228;SAINTE-MARIE
La rivière du Galion Bras Gommier Percé à Gros-Morne [Bras-Gommier];-61.037961962;14.730869121;97212;GROS-MORNE
La rivière du Galion à la Trinité [Grand Galion];-60.960337268;14.717007964;97230;TRINITE
La rivière du Galion à la Trinité [Bassignac];-60.98797774;14.730483451;97230;TRINITE
La rivière du Galion à la Trinité [bassignac];-60.981706085;14.729521489;97230;TRINITE
La rivière Dumauzé à Fort-de-France [Didier];-61.09286828;14.6616867;97209;FORT-DE-FRANCE
La rivière Dumauzé à Fort-de-France [Absalon];-61.097490855;14.676753304;97209;FORT-DE-FRANCE
La rivière Case-Navire à Schœlcher [Anse Madame];-61.100287937;14.618484551;97229;SCH≈íLCHER
La rivière Case-Navire à Schœlcher [Fond Rousseau];-61.097887359;14.626501082;97229;SCH≈íLCHER
La rivière Case-Navire à Schœlcher [case navire];-61.100055406;14.617853328;97229;SCH≈íLCHER
La rivière du Carbet à Fonds-Saint-Denis [fond mascret];-61.141301418;14.729517849;97208;FONDS-SAINT-DENIS
La rivière du Carbet au Carbet [Fond Baise];-61.169082937;14.714960626;97204;CARBET
La Roxelane à Saint-Pierre [Pecoul];-61.163459122;14.757457549;97225;SAINT-PIERRE
La Roxelane à Saint-Pierre [Bourg Saint Pierre];-61.176308059;14.749127233;97225;SAINT-PIERRE
La rivière du Longvilliers au Lamentin [Baleu];-61.016305292;14.648854081;97213;LAMENTIN
La Gondeau au Lamentin [Pont de Gondeau];-61.023931232;14.632474171;97213;LAMENTIN
La Jambette à Fort-de-France [Jambette];-61.034979423;14.632967635;97209;FORT-DE-FRANCE
La rivière Madame à Fort-de-France [Pont de Chaine];-61.071269419;14.61689841;97209;FORT-DE-FRANCE
La rivière Madame à Fort-de-France [Pont de Chaine];-61.071269419;14.61689841;97209;FORT-DE-FRANCE
La rivière Madame à Fort-de-France [Pont de la Cartonnerie];-61.072165027;14.615273483;97209;FORT-DE-FRANCE
La Lézarde à Gros-Morne [Palourde];-61.048843648;14.716331664;97212;GROS-MORNE
La Lézarde à Gros-Morne [Lézarde 2];-61.033428439;14.709559449;97212;GROS-MORNE
La Lézarde à Gros-Morne [rd-15-b- Lezarde];-61.026200998;14.703380604;97212;GROS-MORNE
La Lézarde à Gros-Morne [Tronc commun];-61.022531224;14.700649554;97212;GROS-MORNE
La rivière Petite Lézarde à Gros-Morne [Saint Maurice];-60.993689841;14.675951231;97212;GROS-MORNE
La rivière Blanche à Fort-de-France [Pont de l'Alma];-61.09254523;14.704929928;97209;FORT-DE-FRANCE
La rivière Blanche à Fort-de-France [Alma];-61.093952971;14.705769475;97209;FORT-DE-FRANCE
La rivière Blanche à Saint-Joseph [Bouliki];-61.073444949;14.702960368;97224;SAINT-JOSEPH
La rivière Blanche à Saint-Joseph [Bouliki aval];-61.068678697;14.69963084;97224;SAINT-JOSEPH
