code_site;code_station;longitude;latitude;code_commune_station;libelle;code_departement;code_region;libelle_region
10110001;1011000101;-61.658989597;16.189402471;97118;PETIT-BOURG;971;1;GUADELOUPE
10110002;1011000201;-61.651949755;16.19582925;97118;PETIT-BOURG;971;1;GUADELOUPE
10110003;1011000301;-61.65561032;16.193954427;97118;PETIT-BOURG;971;1;GUADELOUPE
10110004;1011000401;-61.672778414;16.158271038;97118;PETIT-BOURG;971;1;GUADELOUPE
10150001;1015000101;-61.69319975;16.175997699;97118;PETIT-BOURG;971;1;GUADELOUPE
10160001;1016000101;-61.666435864;16.199136863;97118;PETIT-BOURG;971;1;GUADELOUPE
10160002;1016000201;-61.657233929;16.202822061;97118;PETIT-BOURG;971;1;GUADELOUPE
10160003;1016000301;-61.673385354;16.193433429;97118;PETIT-BOURG;971;1;GUADELOUPE
10200001;1020000101;-61.653093292;16.205118648;97118;PETIT-BOURG;971;1;GUADELOUPE
10210001;1021000101;-61.668681698;16.225308732;97115;LAMENTIN;971;1;GUADELOUPE
10250001;1025000101;-61.668130065;16.27971171;97129;SAINTE-ROSE;971;1;GUADELOUPE
10250002;1025000201;-61.667993471;16.271941152;97129;SAINTE-ROSE;971;1;GUADELOUPE
10400001;1040000101;-61.717770023;16.293870123;97129;SAINTE-ROSE;971;1;GUADELOUPE
10400002;1040000201;-61.715113667;16.296798381;97129;SAINTE-ROSE;971;1;GUADELOUPE
10440001;1044000101;-61.745007441;16.336032497;97129;SAINTE-ROSE;971;1;GUADELOUPE
11100001;1110000101;-61.627892425;16.157941415;97118;PETIT-BOURG;971;1;GUADELOUPE
11110001;1111000101;-61.60212418;16.181951987;97118;PETIT-BOURG;971;1;GUADELOUPE
11120001;1112000101;-61.597352472;16.149653493;97114;GOYAVE;971;1;GUADELOUPE
11130001;1113000101;-61.647192928;16.180126943;97118;PETIT-BOURG;971;1;GUADELOUPE
11200001;1120000101;-61.609381528;16.071929809;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
11200002;1120000201;-61.56608824;16.057036348;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
11200003;1120000301;-61.585446667;16.066805019;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
11210001;1121000101;-61.603401793;16.057559475;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
11220001;1122000101;-61.605619672;16.039714664;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
11220002;1122000201;-61.57502155;16.022531066;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
11220003;1122000301;-61.623693349;16.045389917;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
11230001;1123000101;-61.615206314;16.123740687;97114;GOYAVE;971;1;GUADELOUPE
11240001;1124000101;-61.587337245;16.127263578;97114;GOYAVE;971;1;GUADELOUPE
11260001;1126000101;-61.562456953;16.100001781;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
11310001;1131000101;-61.659512131;15.963211632;97132;TROIS-RIVIERES;971;1;GUADELOUPE
11340001;1134000101;-61.609276275;16.019158627;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
11340002;1134000201;-61.615413076;16.02500079;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
11340003;1134000301;-61.615282247;16.024999945;97107;CAPESTERRE-BELLE-EAU;971;1;GUADELOUPE
12120001;1212000101;-61.739269766;16.010759526;97104;BAILLIF;971;1;GUADELOUPE
12130001;1213000101;-61.725152838;15.996332898;97105;BASSE-TERRE;971;1;GUADELOUPE
12140001;1214000101;-61.720413666;15.989236632;97105;BASSE-TERRE;971;1;GUADELOUPE
12180001;1218000101;-61.718538802;16.067742559;97104;BAILLIF;971;1;GUADELOUPE
12200001;1220000101;-61.695519784;16.110056606;97134;VIEUX-HABITANTS;971;1;GUADELOUPE
12200002;1220000201;-61.717583131;16.101603762;97134;VIEUX-HABITANTS;971;1;GUADELOUPE
12210001;1221000101;-61.725180957;16.086536891;97134;VIEUX-HABITANTS;971;1;GUADELOUPE
12210002;1221000201;-61.759929533;16.059657043;97134;VIEUX-HABITANTS;971;1;GUADELOUPE
12240001;1224000101;-61.74909047;16.098599964;97134;VIEUX-HABITANTS;971;1;GUADELOUPE
12270001;1227000101;-61.765614739;16.162251555;97106;BOUILLANTE;971;1;GUADELOUPE
12270002;1227000201;-61.757070717;16.160722892;97106;BOUILLANTE;971;1;GUADELOUPE
12270003;1227000301;-61.750553449;16.162022446;97106;BOUILLANTE;971;1;GUADELOUPE
12320001;1232000101;-61.776039409;16.224316529;97121;POINTE-NOIRE;971;1;GUADELOUPE
12320002;1232000201;-61.746477755;16.067971261;97121;POINTE-NOIRE;971;1;GUADELOUPE
12350001;1235000101;-61.79058361;16.285746742;97111;DESHAIES;971;1;GUADELOUPE
12360001;1236000101;-61.782868367;16.29672549;97111;DESHAIES;971;1;GUADELOUPE
13110001;1311000101;-61.508468286;16.255793409;97101;ABYMES;971;1;GUADELOUPE
13320001;1332000101;-61.440836092;16.329290583;97116;MORNE-A-L'EAU;971;1;GUADELOUPE
13500001;1350000101;-61.441215057;16.40045727;97119;PETIT-CANAL;971;1;GUADELOUPE
13550001;1355000101;-61.49924553;16.403970454;97122;PORT-LOUIS;971;1;GUADELOUPE
13550002;1355000201;-61.488267384;16.415513864;97122;PORT-LOUIS;971;1;GUADELOUPE
13620001;1362000101;-61.508933348;16.441174358;97122;PORT-LOUIS;971;1;GUADELOUPE
14220001;1422000101;-61.322648953;16.311995675;97117;MOULE;971;1;GUADELOUPE
15300001;1530000101;-61.3790885;16.252520424;97128;SAINTE-ANNE;971;1;GUADELOUPE
15420001;1542000101;-61.497841135;16.217444195;97113;GOSIER;971;1;GUADELOUPE
16410001;1641000101;-61.289587036;15.935073394;97126;SAINT-LOUIS;971;1;GUADELOUPE
20140001;2014000101;-61.225533373;14.831497784;97219;PRECHEUR;972;2;MARTINIQUE
21010001;2101000101;-61.178256371;14.873158238;97211;GRAND'RIVIERE;972;2;MARTINIQUE
21010001;2101000102;-61.178256371;14.873158238;97211;GRAND'RIVIERE;972;2;MARTINIQUE
21130001;2113000101;-61.11098285;14.776624396;97218;MORNE-ROUGE;972;2;MARTINIQUE
21150001;2115000101;-61.106495975;14.812058121;97214;LORRAIN;972;2;MARTINIQUE
21150002;2115000201;-61.096447645;14.831861995;97214;LORRAIN;972;2;MARTINIQUE
21160001;2116000101;-61.101868228;14.804790393;97214;LORRAIN;972;2;MARTINIQUE
22050001;2205000101;-61.055504668;14.788161638;97214;LORRAIN;972;2;MARTINIQUE
22050002;2205000201;-61.059176417;14.779809287;97214;LORRAIN;972;2;MARTINIQUE
22050003;2205000301;-61.057075397;14.796735688;97214;LORRAIN;972;2;MARTINIQUE
22110001;2211000101;-61.006936513;14.773034836;97228;SAINTE-MARIE;972;2;MARTINIQUE
22210001;2221000101;-61.037961962;14.730869121;97212;GROS-MORNE;972;2;MARTINIQUE
22250001;2225000101;-60.960337268;14.717007964;97230;TRINITE;972;2;MARTINIQUE
22250002;2225000201;-60.98797774;14.730483451;97230;TRINITE;972;2;MARTINIQUE
22250003;2225000301;-60.981706085;14.729521489;97230;TRINITE;972;2;MARTINIQUE
23010001;2301000101;-61.09286828;14.6616867;97209;FORT-DE-FRANCE;972;2;MARTINIQUE
23010002;2301000201;-61.097490855;14.676753304;97209;FORT-DE-FRANCE;972;2;MARTINIQUE
23020001;2302000101;-61.100287937;14.618484551;97229;SCHŒLCHER;972;2;MARTINIQUE
23020002;2302000201;-61.097887359;14.626501082;97229;SCHŒLCHER;972;2;MARTINIQUE
23020003;2302000301;-61.100055406;14.617853328;97229;SCHŒLCHER;972;2;MARTINIQUE
23200001;2320000101;-61.141301418;14.729517849;97208;FONDS-SAINT-DENIS;972;2;MARTINIQUE
23220001;2322000101;-61.169082937;14.714960626;97204;CARBET;972;2;MARTINIQUE
23280001;2328000101;-61.163459122;14.757457549;97225;SAINT-PIERRE;972;2;MARTINIQUE
23290001;2329000101;-61.176308059;14.749127233;97225;SAINT-PIERRE;972;2;MARTINIQUE
24020001;2402000101;-61.016305292;14.648854081;97213;LAMENTIN;972;2;MARTINIQUE
24040001;2404000101;-61.023931232;14.632474171;97213;LAMENTIN;972;2;MARTINIQUE
24140001;2414000101;-61.034979423;14.632967635;97209;FORT-DE-FRANCE;972;2;MARTINIQUE
24230001;2423000101;-61.071269419;14.61689841;97209;FORT-DE-FRANCE;972;2;MARTINIQUE
24230001;2423000102;-61.071269419;14.61689841;97209;FORT-DE-FRANCE;972;2;MARTINIQUE
24230002;2423000201;-61.072165027;14.615273483;97209;FORT-DE-FRANCE;972;2;MARTINIQUE
25010001;2501000101;-61.048843648;14.716331664;97212;GROS-MORNE;972;2;MARTINIQUE
25030001;2503000101;-61.033428439;14.709559449;97212;GROS-MORNE;972;2;MARTINIQUE
25030002;2503000201;-61.026200998;14.703380604;97212;GROS-MORNE;972;2;MARTINIQUE
25030003;2503000301;-61.022531224;14.700649554;97212;GROS-MORNE;972;2;MARTINIQUE
25040001;2504000101;-60.993689841;14.675951231;97212;GROS-MORNE;972;2;MARTINIQUE
25110001;2511000101;-61.09254523;14.704929928;97209;FORT-DE-FRANCE;972;2;MARTINIQUE
25110002;2511000201;-61.093952971;14.705769475;97209;FORT-DE-FRANCE;972;2;MARTINIQUE
25120001;2512000101;-61.073444949;14.702960368;97224;SAINT-JOSEPH;972;2;MARTINIQUE
25120002;2512000201;-61.068678697;14.69963084;97224;SAINT-JOSEPH;972;2;MARTINIQUE
25120003;2512000301;-61.03554371;14.68061176;97224;SAINT-JOSEPH;972;2;MARTINIQUE
25120003;2512000302;-61.03554371;14.68061176;97224;SAINT-JOSEPH;972;2;MARTINIQUE
25120004;2512000401;-61.044226351;14.685145736;97224;SAINT-JOSEPH;972;2;MARTINIQUE
25140001;2514000101;-61.022964534;14.675805438;97224;SAINT-JOSEPH;972;2;MARTINIQUE
25210001;2521000101;-60.985489727;14.62517646;97213;LAMENTIN;972;2;MARTINIQUE
25210001;2521000102;-60.985489727;14.62517646;97213;LAMENTIN;972;2;MARTINIQUE
25210002;2521000201;-60.998352278;14.651647472;97213;LAMENTIN;972;2;MARTINIQUE
25210003;2521000301;-60.993999657;14.645465054;97213;LAMENTIN;972;2;MARTINIQUE
25210004;2521000401;-60.995933352;14.666436069;97213;LAMENTIN;972;2;MARTINIQUE
25320001;2532000101;-60.965244359;14.643588774;97213;LAMENTIN;972;2;MARTINIQUE
25330001;2533000101;-60.97419328;14.625094369;97213;LAMENTIN;972;2;MARTINIQUE
25330001;2533000102;-60.97419328;14.625094369;97213;LAMENTIN;972;2;MARTINIQUE
25420001;2542000101;-60.994998202;14.617685939;97213;LAMENTIN;972;2;MARTINIQUE
25430001;2543000101;-60.998224292;14.605747482;97213;LAMENTIN;972;2;MARTINIQUE
25440001;2544000101;-60.962681039;14.613689172;97213;LAMENTIN;972;2;MARTINIQUE
25440002;2544000201;-60.99753845;14.604004971;97213;LAMENTIN;972;2;MARTINIQUE
25440003;2544000301;-61.004323585;14.599954616;97213;LAMENTIN;972;2;MARTINIQUE
26040001;2604000101;-60.940031396;14.688732455;97222;ROBERT;972;2;MARTINIQUE
26130001;2613000101;-60.919731401;14.613149785;97210;FRANCOIS;972;2;MARTINIQUE
26150001;2615000101;-60.909463185;14.616384816;97210;FRANCOIS;972;2;MARTINIQUE
26160001;2616000101;-60.902648296;14.61368096;97210;FRANCOIS;972;2;MARTINIQUE
26230001;2623000101;-60.876715582;14.583676836;97210;FRANCOIS;972;2;MARTINIQUE
26230002;2623000201;-60.880462383;14.580573212;97210;FRANCOIS;972;2;MARTINIQUE
27010001;2701000101;-60.850910104;14.518406682;97232;VAUCLIN;972;2;MARTINIQUE
27150001;2715000101;-60.852992932;14.501105405;97217;MARIN;972;2;MARTINIQUE
27230001;2723000101;-60.853616487;14.449215372;97226;SAINTE-ANNE;972;2;MARTINIQUE
28020001;2802000101;-60.937987677;14.562362799;97223;SAINT-ESPRIT;972;2;MARTINIQUE
28030001;2803000101;-60.960058505;14.547599077;97221;RIVIERE-SALEE;972;2;MARTINIQUE
28030001;2803000102;-60.960058505;14.547599077;97221;RIVIERE-SALEE;972;2;MARTINIQUE
28040001;2804000101;-60.964644448;14.527102542;97221;RIVIERE-SALEE;972;2;MARTINIQUE
28040002;2804000201;-60.98144987;14.534648901;97221;RIVIERE-SALEE;972;2;MARTINIQUE
28050001;2805000101;-60.977396267;14.52424337;97221;RIVIERE-SALEE;972;2;MARTINIQUE
28050002;2805000201;-60.983282868;14.524137738;97221;RIVIERE-SALEE;972;2;MARTINIQUE
28080001;2808000101;-60.964891696;14.564889911;97207;DUCOS;972;2;MARTINIQUE
28120001;2812000101;-60.904818828;14.496114205;97220;RIVIERE-PILOTE;972;2;MARTINIQUE
28130001;2813000101;-60.903969933;14.484987307;97220;RIVIERE-PILOTE;972;2;MARTINIQUE
28130002;2813000201;-60.890072824;14.498893027;97220;RIVIERE-PILOTE;972;2;MARTINIQUE
28220001;2822000101;-60.963652676;14.488462522;97227;SAINTE-LUCE;972;2;MARTINIQUE
28240001;2824000101;-60.961577974;14.486141542;97227;SAINTE-LUCE;972;2;MARTINIQUE
29020001;2902000101;-61.031695201;14.487280205;97206;DIAMANT;972;2;MARTINIQUE
30130001;3013000101;45.205680635;-12.800646373;97611;MAMOUDZOU;976;6;MAYOTTE
30140001;3014000101;45.185710871;-12.797179721;97611;MAMOUDZOU;976;6;MAYOTTE
30210001;3021000101;45.178368783;-12.733667893;97610;KOUNGOU;976;6;MAYOTTE
30330001;3033000101;45.106868127;-12.715276989;97602;BANDRABOUA;976;6;MAYOTTE
30330002;3033000201;45.110914892;-12.722328785;97602;BANDRABOUA;976;6;MAYOTTE
30330003;3033000301;45.099822626;-12.717956433;97602;BANDRABOUA;976;6;MAYOTTE
30330004;3033000401;45.135569806;-12.732029374;97602;BANDRABOUA;976;6;MAYOTTE
30330005;3033000501;45.116986292;-12.724668283;97602;BANDRABOUA;976;6;MAYOTTE
30350001;3035000101;45.140670399;-12.743791491;97602;BANDRABOUA;976;6;MAYOTTE
30350002;3035000201;45.148436832;-12.760561754;97617;TSINGONI;976;6;MAYOTTE
30360001;3036000101;45.164894403;-12.73753793;97610;KOUNGOU;976;6;MAYOTTE
30450001;3045000101;45.098430035;-12.761317582;97613;M'TSANGAMOUJI;976;6;MAYOTTE
30510001;3051000101;45.106967053;-12.775430173;97617;TSINGONI;976;6;MAYOTTE
30520001;3052000101;45.110564284;-12.784688572;97617;TSINGONI;976;6;MAYOTTE
30530001;3053000101;45.146913736;-12.771350726;97617;TSINGONI;976;6;MAYOTTE
30530002;3053000201;45.127685913;-12.808210302;97617;TSINGONI;976;6;MAYOTTE
30540001;3054000101;45.132076288;-12.834061555;97614;OUANGANI;976;6;MAYOTTE
30730001;3073000101;45.129723012;-12.97068984;97609;KANI-KELI;976;6;MAYOTTE
30740001;3074000101;45.158037662;-12.968467768;97603;BANDRELE;976;6;MAYOTTE
30920001;3092000101;45.177033542;-12.840129963;97607;DEMBENI;976;6;MAYOTTE
30940001;3094000101;45.19411718;-12.873241559;97607;DEMBENI;976;6;MAYOTTE
40000001;4000000101;55.615699903;-21.376618691;97412;SAINT-JOSEPH;974;4;LA REUNION
40000001;4000000102;55.615654868;-21.375254291;97412;SAINT-JOSEPH;974;4;LA REUNION
40010001;4001000101;55.644621986;-21.340248013;97412;SAINT-JOSEPH;974;4;LA REUNION
40010002;4001000201;55.643387787;-21.33902202;97412;SAINT-JOSEPH;974;4;LA REUNION
40010003;4001000301;55.645672686;-21.381009615;97412;SAINT-JOSEPH;974;4;LA REUNION
40050001;4005000101;55.721976963;-21.175188555;97419;SAINTE-ROSE;974;4;LA REUNION
40100001;4010000101;55.585693089;-21.143904766;97406;PLAINE-DES-PALMISTES;974;4;LA REUNION
40120001;4012000101;55.679712956;-21.04147154;97410;SAINT-BENOIT;974;4;LA REUNION
40120002;4012000201;55.714487228;-21.035025937;97410;SAINT-BENOIT;974;4;LA REUNION
40130001;4013000101;55.6599349;-21.035399628;97410;SAINT-BENOIT;974;4;LA REUNION
40130002;4013000201;55.670555899;-21.023693915;97410;SAINT-BENOIT;974;4;LA REUNION
40130004;4013000401;55.663069594;-20.996786781;97402;BRAS-PANON;974;4;LA REUNION
40130005;4013000501;55.675198473;-21.003521471;97402;BRAS-PANON;974;4;LA REUNION
40200001;4020000101;55.579492877;-20.998919379;97421;SALAZIE;974;4;LA REUNION
40200002;4020000201;55.493714767;-21.061325083;97421;SALAZIE;974;4;LA REUNION
40210001;4021000101;55.61149735;-21.025986285;97402;BRAS-PANON;974;4;LA REUNION
40220001;4022000101;55.640255699;-20.978258533;97402;BRAS-PANON;974;4;LA REUNION
40300001;4030000101;55.641920525;-20.932353037;97420;SAINTE-SUZANNE;974;4;LA REUNION
40300002;4030000201;55.605666402;-20.969053684;97409;SAINT-ANDRE;974;4;LA REUNION
40300003;4030000301;55.633827755;-20.93620008;97420;SAINTE-SUZANNE;974;4;LA REUNION
40300004;4030000401;55.602405419;-20.921464584;97420;SAINTE-SUZANNE;974;4;LA REUNION
40300005;4030000501;55.578183881;-20.960814626;97420;SAINTE-SUZANNE;974;4;LA REUNION
40300006;4030000601;55.568599139;-20.975142151;97420;SAINTE-SUZANNE;974;4;LA REUNION
40300007;4030000701;55.582434329;-20.951219368;97420;SAINTE-SUZANNE;974;4;LA REUNION
40300008;4030000801;55.564220224;-20.975421481;97420;SAINTE-SUZANNE;974;4;LA REUNION
40300009;4030000901;55.63799635;-20.94841096;97409;SAINT-ANDRE;974;4;LA REUNION
40300010;4030001001;55.578392671;-20.960661983;97420;SAINTE-SUZANNE;974;4;LA REUNION
40310001;4031000101;55.509635427;-20.916416225;97411;SAINT-DENIS;974;4;LA REUNION
40310002;4031000201;55.68834393;-20.971101281;97411;SAINT-DENIS;974;4;LA REUNION
40310006;4031000601;55.518391978;-20.975236896;97418;SAINTE-MARIE;974;4;LA REUNION
40320001;4032000101;55.472893068;-20.893345654;97411;SAINT-DENIS;974;4;LA REUNION
40320002;4032000201;55.464660969;-20.888041608;97411;SAINT-DENIS;974;4;LA REUNION
40320003;4032000301;55.445329971;-20.883458667;97411;SAINT-DENIS;974;4;LA REUNION
40320004;4032000401;55.433358102;-20.908028161;97411;SAINT-DENIS;974;4;LA REUNION
40400001;4040000101;55.403954009;-21.020994405;97415;SAINT-PAUL;974;4;LA REUNION
40410001;4041000101;55.406119298;-20.992858769;97408;POSSESSION;974;4;LA REUNION
40410002;4041000201;55.383883783;-20.997951506;97408;POSSESSION;974;4;LA REUNION
40500001;4050000101;55.288710268;-20.989957783;97415;SAINT-PAUL;974;4;LA REUNION
40500002;4050000201;55.309595961;-21.058356126;97415;SAINT-PAUL;974;4;LA REUNION
40510001;4051000101;55.229631108;-21.052327664;97415;SAINT-PAUL;974;4;LA REUNION
40510003;4051000301;55.238226885;-21.048767947;97415;SAINT-PAUL;974;4;LA REUNION
40510003;4051000302;55.238226885;-21.048767947;97415;SAINT-PAUL;974;4;LA REUNION
40510004;4051000401;55.287934952;-21.168595843;97413;SAINT-LEU;974;4;LA REUNION
40510005;4051000501;55.290258953;-21.168312252;97413;SAINT-LEU;974;4;LA REUNION
40510006;4051000601;55.288075395;-21.169780518;97413;SAINT-LEU;974;4;LA REUNION
40610001;4061000101;55.534590444;-21.181247256;97422;TAMPON;974;4;LA REUNION
40620001;4062000101;55.442894906;-21.316688854;97416;SAINT-PIERRE;974;4;LA REUNION
40620002;4062000201;55.497932157;-21.277507367;97416;SAINT-PIERRE;974;4;LA REUNION
40620003;4062000301;55.458790109;-21.333392557;97416;SAINT-PIERRE;974;4;LA REUNION
40620004;4062000401;55.513644261;-21.276246638;97416;SAINT-PIERRE;974;4;LA REUNION
40620005;4062000501;55.593253499;-21.215006669;97422;TAMPON;974;4;LA REUNION
40620006;4062000601;55.503628871;-21.284079951;97416;SAINT-PIERRE;974;4;LA REUNION
40620007;4062000701;55.52487778;-21.265984391;97422;TAMPON;974;4;LA REUNION
40620008;4062000801;55.500726674;-21.308904026;97416;SAINT-PIERRE;974;4;LA REUNION
50410001;5041000101;-54.437026296;4.986284467;97360;APATOU;973;3;GUYANE
50610001;5061000101;-54.036170715;5.493567718;97311;SAINT-LAURENT-DU-MARONI;973;3;GUYANE
52200001;5220000101;-54.052123842;3.384427262;97353;MARIPASOULA;973;3;GUYANE
52210001;5221000101;-54.024466036;3.647586494;97353;MARIPASOULA;973;3;GUYANE
52210002;5221000201;-54.142595126;3.805435012;97362;PAPAICHTON;973;3;GUYANE
52410001;5241000101;-54.381705873;4.271536889;97357;GRAND-SANTI;973;3;GUYANE
54230001;5423000101;-54.189616188;3.199926168;97353;MARIPASOULA;973;3;GUYANE
54240001;5424000101;-54.119527324;3.279467073;97353;MARIPASOULA;973;3;GUYANE
54240001;5424000102;-54.071830172;3.295289409;97353;MARIPASOULA;973;3;GUYANE
54710001;5471000101;-54.088677656;3.225621995;97353;MARIPASOULA;973;3;GUYANE
55220001;5522000101;-53.832881668;3.405833417;97353;MARIPASOULA;973;3;GUYANE
55220001;5522000102;-53.930172891;3.393217089;97353;MARIPASOULA;973;3;GUYANE
60000001;6000000101;-52.32699647;3.171688901;97356;CAMOPI;973;3;GUYANE
60000001;6000000102;-52.322583447;3.171667805;97356;CAMOPI;973;3;GUYANE
60200001;6020000101;-51.884756948;3.801667815;97308;SAINT-GEORGES;973;3;GUYANE
61220001;6122000101;-52.36704657;3.178691204;97356;CAMOPI;973;3;GUYANE
