label;latitude;longitude
ville du pont;47;6,5
villers grelot;47,36;6,24
villars les blamont;47,37;6,87
les villedieu;46,71;6,27
villers buzon;47,23;5,85
villers la combe;47,24;6,47
villers sous chalamont;46,9;6,05
voujeaucourt;47,47;6,78
bouconville vauclair;49,46;3,76
bouresches;49,07;3,32
brissy hamegicourt;49,74;3,4
brumetz;49,11;3,15
brunehamel;49,77;4,19
bucy le long;49,39;3,4
caillouel crepigny;49,62;3,12
camelin;49,52;3,13
cerny en laonnois;49,45;3,68
chambry;49,6;3,67
chaourse;49,7;3,99
charmes;49,65;3,38
chaudun;49,32;3,25
chauny;49,62;3,22
chezy en orxois;49,13;3,17
chivy les etouvelles;49,53;3,59
ciry salsogne;49,37;3,47
clastres;49,75;3,23
montchalons;49,51;3,73
monthenault;49,49;3,66
montigny l allier;49,12;3,11
montigny lengrain;49,37;3,1
mont notre dame;49,29;3,58
mont st jean;49,79;4,21
muret et crouttes;49,28;3,43
nesles la montagne;49;3,45
neufchatel sur aisne;49,44;4,02
le nouvion en thierache;50,01;3,81
ognes;49,61;3,19
orainville;49,38;4,02
osly courtil;49,4;3,24
pancy courtecon;49,46;3,65
papleux;50,02;3,88
parcy et tigny;49,27;3,33
parfondru;49,54;3,7
pargny la dhuys;48,95;3,56
pargny les bois;49,73;3,62
parpeville;49,79;3,56
viffort;48,96;3,47
villeneuve sur fere;49,17;3,48
villers st christophe;49,78;3,09
wimy;49,95;4
st firmin en valgodemard;44,79;6,03
bosmont sur serre;49,74;3,87
bouffignereux;49,38;3,85
bourguignon sous coucy;49,54;3,15
brancourt en laonnois;49,52;3,41
braye en laonnois;49,44;3,61
brenelle;49,37;3,54
brie;49,6;3,47
bruyeres et montberault;49,52;3,67
camelin;49,52;3,13
castres;49,8;3,25
chaillevois;49,51;3,52
albon d ardeche;44,81;4,43
chassemy;49,38;3,5
chateau thierry;49,06;3,38
annonay;45,25;4,65
chatillon les sons;49,76;3,7
chatillon sur oise;49,79;3,42
chery chartreuve;49,26;3,6
les assions;44,43;4,18
chery les pouilly;49,65;3,59
beauvene;44,87;4,51
chigny;49,93;3,78
cilly;49,75;3,84
bessas;44,34;4,3
boulieu les annonay;45,27;4,65
freyssenet;44,69;4,55
gravieres;44,42;4,07
laurac en vivarais;44,5;4,29
malarce sur la thines;44,48;4,05
marcols les eaux;44,81;4,39
montreal;44,52;4,29
belsentes;44,92;4,5
prunet;44,6;4,25
rocher;44,58;4,28
st alban auriolles;44,43;4,29
st alban auriolles;44,43;4,29
st etienne de serre;44,8;4,52
st genest lachamp;44,84;4,42
st maurice en chalencon;44,85;4,58
st peray;44,94;4,82
st romain de lerps;44,98;4,8
sampzon;44,41;4,33
sanilhac;44,53;4,23
soyons;44,89;4,85
montbrehain;49,96;3,36
montescourt lizerolles;49,74;3,26
vallon pont d arc;44,4;4,41
montigny les conde;48,98;3,57
les vans;44,39;4,11
montigny sous marle;49,74;3,8
montloue;49,67;4,06
mont st pere;49,08;3,48
villeneuve de berg;44,55;4,5
mortefontaine;49,34;3,08
nampteuil sous muret;49,31;3,43
neuflieux;49,62;3,16
neuilly st front;49,16;3,26
nizy le comte;49,57;4,03
noroy sur ourcq;49,2;3,21
nouvion et catillon;49,71;3,49
ohis;49,92;4,01
passy sur marne;49,07;3,57
pernant;49,38;3,23
villers agron aiguizy;49,16;3,72
wiege faty;49,88;3,71
aigues vives;43;1,88
albies;42,75;1,7
bezac;43,15;1,57
bonac irazein;42,84;0,98
bouan;42,79;1,64
boussenac;42,91;1,39
burret;42,95;1,47
calzan;43,03;1,74
carla de roquefort;42,98;1,76
castelnau durban;42,99;1,34
casteras;43,13;1,4
castex;43,17;1,32
cazaux;43,05;1,52
st maurice en valgodemard;44,8;6,11
chassiers;44,57;4,3
chazeaux;44,6;4,3
cornas;44,97;4,84
coux;44,74;4,62
darbres;44,66;4,52
dornas;44,85;4,36
largentiere;44,53;4,3
mariac;44,89;4,35
montselgues;44,53;4
privas;44,72;4,59
rocles;44,57;4,21
st cierge sous le cheylard;44,93;4,45
st marcel les annonay;45,29;4,63
st pierre st jean;44,48;4,1
st pierreville;44,82;4,48
les vans;44,39;4,11
alieze;46,59;5,59
arinthod;46,39;5,58
arlay;46,77;5,54
la chailleuse;46,58;5,53
aumont;46,92;5,63
auxange;47,18;5,65
avignon les st claude;46,4;5,84
bans;46,98;5,58
baverans;47,11;5,54
beaufort orbagna;46,59;5,43
bellefontaine;46,56;6,08
belmont;47,03;5,61
bersaillin;46,86;5,6
bracon;46,93;5,87
buvilly;46,87;5,73
cernon;46,41;5,64
les chalesmes;46,69;6,03
charency;46,77;5,99
charezier;46,61;5,73
chateau chalon;46,76;5,65
le chateley;46,88;5,54
chatillon;46,66;5,73
nanchez;46,5;5,86
chaux champagny;46,88;5,88
chille;46,69;5,57
chilly sur salins;46,87;5,86
chissey sur loue;47,06;5,74
commenailles;46,81;5,44
courlans;46,68;5,49
courlaoux;46,67;5,45
courtefontaine;47,13;5,79
coyron;46,51;5,7
hauteroche;46,7;5,7
crenans;46,47;5,74
crissey;47,05;5,48
dampierre;47,17;5,74
denezieres;46,62;5,8
le deschaux;46,95;5,5
les deux fays;46,89;5,49
digna;46,52;5,38
dole;47,08;5,5
dompierre sur mont;46,56;5,61
dramelay;46,4;5,53
val d epy;46,39;5,4
val d epy;46,39;5,4
equevillon;46,76;5,94
alos;42,9;1,13
etival;46,49;5,79
arignac;42,88;1,6
francheville;46,84;5,5
artigues;42,69;2,04
le frasnois;46,64;5,89
aulus les bains;42,77;1,36
geraise;46,96;5,95
balacet;42,89;0,98
germigney;47,04;5,69
la bastide de bousignac;43,06;1,88
gevingey;46,64;5,51
la bastide de serou;43,02;1,39
grande riviere chateau;46,53;5,91
la bastide sur l hers;42,95;1,9
graye et charnay;46,47;5,45
belloc;43,01;1,93
ivrey;46,99;5,9
benaix;42,9;1,85
ladoye sur seille;46,77;5,68
bethmale;42,85;1,08
bordes uchentein;42,84;1,03
larnaud;46,71;5,46
brie;43,21;1,52
la latette;46,75;6,1
camarade;43,07;1,28
lavans les st claude;46,39;5,77
camon;43,02;1,96
lavans les st claude;46,39;5,77
carcanieres;42,71;2,12
lavans les st claude;46,39;5,77
cazals des bayles;43,09;1,94
lavigny;46,72;5,61
cerizols;43,12;1,07
lavigny;46,72;5,61
chateau verdun;42,78;1,68
lect;46,39;5,67
lemuy;46,89;5,98
lent;46,75;5,98
longcochon;46,77;6,08
la loye;47,03;5,55
marnezia;46,58;5,64
mesnay;46,9;5,82
mignovillard;46,78;6,14
mignovillard;46,78;6,14
molain;46,83;5,82
molay;47,02;5,42
monay;46,84;5,6
monnieres;47,11;5,46
montholier;46,89;5,64
montigny les arsures;46,94;5,78
montigny sur l ain;46,71;5,79
montmirey la ville;47,22;5,52
montmirey le chateau;47,23;5,53
montrond;46,79;5,84
morbier;46,56;6,02
mournans charbonny;46,78;5,99
les moussieres;46,33;5,87
moutoux;46,79;5,94
les trois chateaux;46,42;5,36
nancuise;46,47;5,53
les nans;46,79;5,97
nevy les dole;47;5,52
nevy sur seille;46,74;5,64
offlanges;47,2;5,56
onoz;46,45;5,66
orgelet;46,52;5,6
