label;latitude;longitude
ville du pont;46.999873398;6.498147193
villers grelot;47.361512085;6.235167025
villars les blamont;47.368383721;6.871414913
les villedieu;46.713906258;6.26583065
villers buzon;47.228558434;5.852186748
villers la combe;47.240809828;6.473842387
villers sous chalamont;46.901588322;6.045328224
voujeaucourt;47.473552905;6.782505604
bouconville vauclair;49.460193485;3.756684634
bouresches;49.067056293;3.316703204
brissy hamegicourt;49.742857871;3.399923608
brumetz;49.110351585;3.153350725
brunehamel;49.771382057;4.186261479
bucy le long;49.387973822;3.398519722
caillouel crepigny;49.617755672;3.121707969
camelin;49.52049848;3.127624347
